id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41144230,Mercedes Classe A 2015 180  Exclusif +,10000,2015,1.6 ess BlueEfficiency 136ch,Blanc,Carte grise / safia,220000km,Mercedes,Classe A,180  Exclusif +,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41042092,Renault Clio 5 2022 Rs,4350000,2022,115,Noir,Carte grise / safia,25000km,Renault,Clio 5,Rs,,,Climatisation,ABS,ESP,Retroviseurs électriques,Phares antibrouillard,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,
40942036,Ford C Max 2012 C Max,1720000,2012,1.6 ess 115ch,Vert Pistache,Carte grise / safia,179km,Ford,C Max,C Max,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
40926589,Kia Rio 5 portes 2013 Rio 5 portes,1750000,2013,1.4 ess 107ch,Noir,Carte grise / safia,340km,Kia,Rio 5 portes,Rio 5 portes,,,Radar de recul,Radio CD,Alarme,Vitres éléctriques,,,,,,,,,,
41036314,Volkswagen Amarok 2014 Amarok,2200000,2014,2.0 TDI 4MOTION 180ch,Noir,Carte grise / safia,286000km,Volkswagen,Amarok,Amarok,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40923361,Audi Q3 2021 S Line,7200000,2021,1.5 tfsi 150ch,Noir,Carte grise / safia,98000km,Audi,Q3,S Line,,,,,,,,,,,,,,,,
41028141,Rover RANGE ROVER P300 2019 ,12600000,2019,,Noir,Carte grise / safia,73000km,Rover,RANGE ROVER P300,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40917058,Chevrolet Cruze 2010 Cruze,250000,2010,1.6 ess 16V 113ch,Blanc,Carte grise / safia,246852km,Chevrolet,Cruze,Cruze,,,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,
40916212,Renault Kangoo 1998 Kangoo,780000,1998,1.9 D 65ch,Beige,Carte grise / safia,,Renault,Kangoo,Kangoo,,,Direction assisstée,Retroviseurs électriques,Radio CD,Feux du jour,Vitres éléctriques,,,,,,,,,
41017909,Renault Megane 3 2011 Privilege,10000,2011,1.9 dci 130ch,Noir,Carte grise / safia,330000km,Renault,Megane 3,Privilege,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Vitres éléctriques,
41017123,Hyundai Grand i10 2019 Restylée DZ,70000,2019,1.2 ess 87ch,Blanc,Carte grise / safia,56000km,Hyundai,Grand i10,Restylée DZ,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,
41144146,Fiat Tipo 2024 Base,3250000,2024,1.6 etorc,Blanc,Carte grise / safia,400km,Fiat,Tipo,Base,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Feux du jour,Vitres éléctriques,,,,,,,
41144116,Renault Symbol 2018 Extrême,10000,2018,1.5 Dci 85ch,Gris,Carte grise / safia,190000km,Renault,Symbol,Extrême,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41010028,Renault Kangoo 2001 Kangoo,950000,2001,1.9 D 65ch,Blanc,Carte grise / safia,500000km,Renault,Kangoo,Kangoo,,,ABS,Direction assisstée,Radio CD,Alarme,,,,,,,,,,
41144107,Volkswagen Tigone 2024 R line,10000,2024,200ch  2 L,Noir,Licence / Délai,1400km,Volkswagen,Tigone,R line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40974403,Renault Megane 2 Classique 2007 Megane 2 Classique,10000,2007,1.5 DCI 105ch,Autre,Carte grise / safia,440km,Renault,Megane 2 Classique,Megane 2 Classique,,,Climatisation,ABS,ESP,Direction assisstée,Phares antibrouillard,Radio CD,Jantes Alliage,,,,,,,
40893064,Renault Clio 1 1996 Clio 1,1220000,1996,1.2 ess 60ch,Blanc,Carte grise / safia,252km,Renault,Clio 1,Clio 1,,,Climatisation,Phares antibrouillard,Vitres éléctriques,,,,,,,,,,,
41144089,Dacia Logan MCV 2014 Logan MCV,50000,2014,1.6 ess 16V 105ch,Gris Argent,Carte grise / safia,185000km,Dacia,Logan MCV,Logan MCV,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Feux du jour,Vitres éléctriques,,,,,
41144086,Peugeot Partner 2010 Tepee,10000,2010,1.6 HDI,Blanc,Carte grise / safia,242000km,Peugeot,Partner,Tepee,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40888318,Fiat Doblo 2023 Doblo,2270000,2023,1.6,Blanc,Carte grise / safia,1500km,Fiat,Doblo,Doblo,,,Climatisation,ABS,ESP,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
41144077,Seat ARONA 2019 Style,3850000,2019,1.6 MPi 110 ch,Gris,Carte grise / safia,59000km,Seat,ARONA,Style,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41144074,BMW Série 5 2012 525d sport,3600000,2012,525d 218ch,Blanc,Carte grise / safia,153000km,BMW,Série 5,525d sport,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41144074,BMW Série 5 2012 525d sport,3600000,2012,525d 218ch,Blanc,Carte grise / safia,153000km,BMW,Série 5,525d sport,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40965763,Suzuki Celerio 2013 Celerio,1330000,2013,1.0 ess 68ch BVA,Blanc,Carte grise / safia,326000km,Suzuki,Celerio,Celerio,,,Climatisation,Direction assisstée,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Vitres éléctriques,,,,,,,
40877101,Renault Clio 1 1998 2 porte,740000,1998,1.4,Blanc,Carte grise / safia,,Renault,Clio 1,2 porte,,,Phares antibrouillard,Alarme,Vitres éléctriques,,,,,,,,,,,
40844359,Peugeot 208 2022 Allure,1000000,2022,1.6 E-HDI 120ch,Noir,Carte grise / safia,42000km,Peugeot,208,Allure,,,Climatisation,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40822234,Peugeot 301 2013 Active,1230000,2013,1.6 HDI 92ch,Blanc,Carte jaune,260000km,Peugeot,301,Active,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Vitres éléctriques,,,,,,,
41144050,Toyota Toyota 2005 ,10000,2005,,Gris Souris,Carte grise / safia,390km,Toyota,Toyota,,,,Climatisation,,,,,,,,,,,,,
41144044,Kia Picanto 2019 LX Start,2590000,2019,1.2 ess 84ch,Gris Argent,Carte grise / safia,110000km,Kia,Picanto,LX Start,,,Climatisation,ABS,Alarme,Jantes Alliage,,,,,,,,,,
41144032,Suzuki Swift 2013 Swift,1450000,2013,1.2 VVT 85ch,,Carte grise / safia,238000km,Suzuki,Swift,Swift,,,,,,,,,,,,,,,,
41144029,Renault Clio 5 2020 ,3100000,2020,1.0 tce 100,Gris Argent,Carte grise / safia,80000km,Renault,Clio 5,,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40796518,Land Rover Range Rover Evoque 2015 Range Rover Evoque,4150000,2015,2.2 SD4 - 2.2 D 190ch BVA,Blanc,Carte grise / safia,191.000km,Land Rover,Range Rover Evoque,Range Rover Evoque,,,,,,,,,,,,,,,,
41144011,Seat Ibiza 2013 Sport Edition,12340000,2013,1.4 ess 85ch,Blanc,Carte grise / safia,193000km,Seat,Ibiza,Sport Edition,,,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40754923,Skoda Fabia 2015 Finition VRS,2510000,2015,1.6 MPI 90ch,Gris Champagne,Carte grise / safia,196500km,Skoda,Fabia,Finition VRS,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41143999,Fiat Doblo 2024 Doblo,3470000,2024,1.6,Gris Souris,Carte grise / safia,1800km,Fiat,Doblo,Doblo,,,,,,,,,,,,,,,,
40701601,Chevrolet Spark 2006 Spark,830000,2006,0.8 ess 48ch,Noir,Carte grise / safia,260000km,Chevrolet,Spark,Spark,,,Radio CD,Alarme,,,,,,,,,,,,
40960339,Peugeot 2008 2023 GT,6000000,2023,1.2,Noir,Carte grise / safia,10500km,Peugeot,2008,GT,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
39848147,Seat Leon 2010 Leon,1600000,2010,2.0 TDI 140ch,Gris,Carte grise / safia,465km,Seat,Leon,Leon,,,Climatisation,Toit ouvrant,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40946482,Renault Megane 3 2012 Privilege,1620000,2012,1.9 dci 130,Blanc,Carte grise / safia,291500km,Renault,Megane 3,Privilege,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41143951,Hyundai Accent RB  5 portes 2018 Style,10000,2018,1.4 ess 107ch,Blanc,Carte grise / safia,50600km,Hyundai,Accent RB  5 portes,Style,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,
41143930,Renault Symbol 2015 Made In Bladi,2280000,2015,1.2 ess 16V  75ch,Blanc,Carte grise / safia,91500km,Renault,Symbol,Made In Bladi,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
41143918,Suzuki Maruti 800 2004 ,500000,2004,0.8 ess 47ch,Blanc,Carte grise / safia,999999km,Suzuki,Maruti 800,,,,Radio CD,,,,,,,,,,,,,
