id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
34792443,Mercedes Classe C 2017 220 Designo,10000,2017,220 CDI BlueEfficiency,Blanc,Carte grise / safia,90000km,Mercedes,Classe C,220 Designo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40644698,Chana Gonew 2015 ,150000,2015,1.2,Blanc,Carte grise / safia,158000km,Chana,Gonew,,,,,,,,,,,,,,,,,
41021086,Volkswagen Golf 7 2020 GTD,2220000,2020,2.0 TDI 184ch DSG,Gris Souris,Carte grise / safia,110000km,Volkswagen,Golf 7,GTD,,,,,,,,,,,,,,,,
40905133,Volkswagen Polo 2022 Style,10000,2022,,Blanc,Carte grise / safia,,Volkswagen,Polo,Style,,,,,,,,,,,,,,,,
39826514,Peugeot 207 plus 2013 207 plus,2050000,2013,1.4 ess 75ch,Noir,Carte jaune,254000km,Peugeot,207 plus,207 plus,,,Climatisation,ABS,Direction assisstée,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
40651891,Skoda Fabia 2020 Monte Carlo,10000,2020,1.6 MPI 90ch,Noir,Carte grise / safia,78000km,Skoda,Fabia,Monte Carlo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41028763,Toyota Hilux 2003 Hilux,2100000,2003,2.4,Blanc,Carte grise / safia,40000km,Toyota,Hilux,Hilux,,,,,,,,,,,,,,,,
40508838,Chevrolet Optra 4 portes 2008 Optra 4 portes,2650000,2008,1.6 ess 16V 109ch,Noir,Carte grise / safia,9000km,Chevrolet,Optra 4 portes,Optra 4 portes,,,Climatisation,ABS,Direction assisstée,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
40085440,Fiat Titano Double Cabine 2024 Volcano 1.9 Diesel 4x4,4289000,2024,1.9 Diesel 4x4,,Carte jaune,,Fiat,Titano Double Cabine,Volcano 1.9 Diesel 4x4,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40085536,Fiat Professional Ducato 2024 Ducato L1H1 2.2 HDI 140CH,3979000,2024,2.2 HDI 140CH,,Carte jaune,,Fiat Professional,Ducato,Ducato L1H1 2.2 HDI 140CH,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Vitres éléctriques,,,,
41090836,Suzuki Alto K10 2013 Alto K10,1060000,2013,1.0 ess 68ch,Blanc,Carte grise / safia,360000km,Suzuki,Alto K10,Alto K10,,,,,,,,,,,,,,,,
40721008,Peugeot 208 2016 Allure Facelift,10000,2016,1.6 HDI 92ch,Gris,Carte grise / safia,180000km,Peugeot,208,Allure Facelift,,,,,,,,,,,,,,,,
40537077,Peugeot 207 2012 207,1240000,2012,1.4 ess 75ch,Blanc,Carte grise / safia,350000km,Peugeot,207,207,,,,,,,,,,,,,,,,
41028025,Seat Ibiza 2014 Fully,1350000,2014,1.4 ess 85ch,Blanc,Carte grise / safia,440000km,Seat,Ibiza,Fully,,,,,,,,,,,,,,,,
39653726,Audi Q5 s line 2023 Quatro,14000000,2023,204ch,Noir,Licence / Délai,00km,Audi,Q5 s line,Quatro,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
