id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
38542878,Fiat 500 2023 Fiat 500,1230000,2023,1.0 hybride,Rouge,Carte grise / safia,6000km,Fiat,500,Fiat 500,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40238383,Subaru Forester 2008 Forester,10000,2008,2.0 ess 150ch,Bleu Nuit,Carte grise / safia,330km,Subaru,Forester,Forester,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
38496826,Suzuki Swift 2012 Dzir,1600000,2012,1.3 VVT 94ch,Gris,Carte grise / safia,280000km,Suzuki,Swift,Dzir,,,Climatisation,ABS,ESP,Retroviseurs électriques,Radio CD,,,,,,,,,
40238383,Subaru Forester 2008 Forester,10000,2008,2.0 ess 150ch,Bleu Nuit,Carte grise / safia,330km,Subaru,Forester,Forester,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
38496826,Suzuki Swift 2012 Dzir,1600000,2012,1.3 VVT 94ch,Gris,Carte grise / safia,280000km,Suzuki,Swift,Dzir,,,Climatisation,ABS,ESP,Retroviseurs électriques,Radio CD,,,,,,,,,
38071945,Renault 25 1989 Baccara,110000,1989,2.0 ess 120ch,Vert Bouteille,Carte grise / safia,242000km,Renault,25,Baccara,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
40237855,Renault Scenic 1998 ,10000,1998,,Bleu Gauloise,,1km,Renault,Scenic,,,,,,,,,,,,,,,,,
40237669,Peugeot 208 2016 Allure,1880000,2016,1.2 VTI 82ch,Blanc,Carte grise / safia,180000km,Peugeot,208,Allure,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
40237594,Skoda Fabia 2022 Ambition,1230000,2022,1.0 MPI 75ch,Gris Souris,Carte grise / safia,27500km,Skoda,Fabia,Ambition,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40237378,Renault Clio 4 2013 Clio 4,1850000,2013,1.5 DCI 85ch,Gris,Carte grise / safia,240000km,Renault,Clio 4,Clio 4,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
38400643,Mitsubishi L 200 Double cabines 4x4 1998 ,10000,1998,2.5 L,Rouge,Carte grise / safia,500000km,Mitsubishi,L 200 Double cabines 4x4,,,,,,,,,,,,,,,,,
38385029,Peugeot 3008 2020 ,111110000,2020,1.6 THP 156ch,Noir,Carte grise / safia,85km,Peugeot,3008,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
38180369,Iran Khodro Dena 2018 Ikco,10000,2018,1.7,Gris Souris,Carte grise / safia,135000km,Iran Khodro,Dena,Ikco,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
38015721,Cupra Formentor 2021 VZ,10000,2021,1.4 hybrid 245 ch,Gris,Licence / Délai,39000km,Cupra,Formentor,VZ,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,
37834217,Toyota RAV4 2009 RAV4,1720000,2009,2.2 D4D 177ch,Gris,Carte grise / safia,369km,Toyota,RAV4,RAV4,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,,,,
40237276,Citroen Jumpy 2021 Jumpy,110000,2021,,Noir,Carte grise / safia,55000km,Citroen,Jumpy,Jumpy,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,,
40237234,Renault Symbol 2017 ,1800000,2017,1.2 ess 16V  75ch,,,,Renault,Symbol,,,,,,,,,,,,,,,,,
40235383,Peugeot 403 1964 403,310000,1964,1.5 ess 58ch,Gris,Carte grise / safia,333333km,Peugeot,403,403,,,,,,,,,,,,,,,,
39790868,BYD Flyer 2008 Flyer,300000,2008,,Miel,Carte grise / safia,250km,BYD,Flyer,Flyer,,,,,,,,,,,,,,,,
40235128,Mercedes GLE 2021 Designo,16500000,2021,300D,Blanc,Carte grise / safia,27000km,Mercedes,GLE,Designo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40235074,Peugeot 208 2015 Allure,2300000,2015,1.6 HDI 92ch,Blanc,Carte grise / safia,230000km,Peugeot,208,Allure,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40234855,Hyundai Accent RB  4 portes 2019 Préstige,10000,2019,1.6 CRDI 128ch,Gris Souris,Carte grise / safia,115000km,Hyundai,Accent RB  4 portes,Préstige,,,Climatisation,ABS,ESP,Radar de recul,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
